Date,AQI,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,location,lon,lat
2020-01-01T00:00:00Z,79,79,72,29,5,2,22,33,Bollaram,78.3425151,17.5581413
2020-01-02T00:00:00Z,55,55,55,22,5,3,22,25,Bollaram,78.3425151,17.5581413
2020-01-03T00:00:00Z,60,54,60,30,5,2,26,19,Bollaram,78.3425151,17.5581413
2020-01-04T00:00:00Z,71,71,71,23,5,6,24,26,Bollaram,78.3425151,17.5581413
2020-01-05T00:00:00Z,100,100,90,29,5,19,23,23,Bollaram,78.3425151,17.5581413
2020-01-06T00:00:00Z,108,108,93,30,4,20,23,28,Bollaram,78.3425151,17.5581413
2020-01-07T00:00:00Z,86,84,86,33,4,4,26,28,Bollaram,78.3425151,17.5581413
2020-01-08T00:00:00Z,88,88,86,32,4,3,23,29,Bollaram,78.3425151,17.5581413
2020-01-09T00:00:00Z,93,80,93,36,7,9,25,15,Bollaram,78.3425151,17.5581413
2020-01-10T00:00:00Z,132,132,99,23,8,8,23,28,Bollaram,78.3425151,17.5581413
2020-01-11T00:00:00Z,149,149,117,37,6,18,28,2,Bollaram,78.3425151,17.5581413
2020-01-12T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-13T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-14T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-15T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-16T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-17T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-18T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-19T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-20T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bollaram,78.3425151,17.5581413
2020-01-21T00:00:00Z,NA,NA,NA,NA,NA,NA,17,43,Bollaram,78.3425151,17.5581413
2020-01-22T00:00:00Z,81,61,81,31,5,7,20,28,Bollaram,78.3425151,17.5581413
2020-01-23T00:00:00Z,115,115,110,45,5,8,34,22,Bollaram,78.3425151,17.5581413
2020-01-24T00:00:00Z,116,112,116,50,6,11,31,27,Bollaram,78.3425151,17.5581413
